| event_message                                    | event_type | execution_id                         | function_id                          | id                                   | level | timestamp        |
| ------------------------------------------------ | ---------- | ------------------------------------ | ------------------------------------ | ------------------------------------ | ----- | ---------------- |
| shutdown                                         | Shutdown   | 1890e843-8a7c-4f98-9463-7f8afe943c88 | 4c128a94-86f9-4314-b244-1d36b62ad632 | dab324da-6a51-4571-aa50-bded2ec51fc6 | log   | 1790254693127000 |
| --> POST /server/send-order-email 404 3ms<br>    | Log        | 1890e843-8a7c-4f98-9463-7f8afe943c88 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 7ed5069f-9617-4dfe-9059-40d9b99dd0fc | info  | 1790254636668000 |
| <-- POST /server/send-order-email<br>            | Log        | 1890e843-8a7c-4f98-9463-7f8afe943c88 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 5a33da03-9083-47ad-93d4-0c5a2de948a7 | info  | 1790254636665000 |
| booted (time: 43ms)                              | Boot       | 1890e843-8a7c-4f98-9463-7f8afe943c88 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 1c26a228-624c-4513-b873-9383247b9fb7 | log   | 1790254636657000 |
| shutdown                                         | Shutdown   | ff9b58a0-8858-418b-ae45-949e5602ad21 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 78070773-3af3-42bb-a2d7-42b0e69b671f | log   | 1790254565112000 |
| --> POST /server/send-order-email 404 1ms<br>    | Log        | ff9b58a0-8858-418b-ae45-949e5602ad21 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 866a3bed-67a0-4c39-b80a-7ef824b40d8e | info  | 1790254490107000 |
| <-- POST /server/send-order-email<br>            | Log        | ff9b58a0-8858-418b-ae45-949e5602ad21 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 907b3030-9c08-446c-912f-9651ca66775c | info  | 1790254490105000 |
| booted (time: 23ms)                              | Boot       | ff9b58a0-8858-418b-ae45-949e5602ad21 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 6093b60a-5803-42a1-a0c9-b90083554dc9 | log   | 1790254490099000 |
| shutdown                                         | Shutdown   | b3b7595e-b0eb-4dc0-a3b8-b452c74336e2 | 4c128a94-86f9-4314-b244-1d36b62ad632 | ebd23017-c8fc-44b4-99fe-1903e76f11a6 | log   | 1790254294576000 |
| --> POST /server/send-order-email 404 2ms<br>    | Log        | b3b7595e-b0eb-4dc0-a3b8-b452c74336e2 | 4c128a94-86f9-4314-b244-1d36b62ad632 | 914959b6-6bfd-4139-8dc5-ac0faa7364e7 | info  | 1790254219570000 |
| <-- POST /server/send-order-email<br>            | Log        | b3b7595e-b0eb-4dc0-a3b8-b452c74336e2 | 4c128a94-86f9-4314-b244-1d36b62ad632 | f4d53099-4aed-48d7-bb0e-0a56d609b980 | info  | 1790254219568000 |
